2018-11-27-13-1-34    UserID [2]    Transaction Complete 
2018-11-27-13-1-34    UserID [3]    Transaction Complete 
2018-11-27-13-1-34    UserID [1]    Transaction Complete 
2018-11-27-13-1-34    UserID [0]    Transaction Complete 
2018-11-27-13-1-34    UserID [4]    Transaction Complete 
2018-11-27-13-1-35    UserID [2]    Transaction Complete 
2018-11-27-13-1-35    UserID [3]    Transaction Complete 
2018-11-27-13-1-35    UserID [0]    Transaction Complete 
2018-11-27-13-1-35    UserID [4]    Transaction Complete 
2018-11-27-13-1-35    UserID [1]    Transaction Complete 
2018-11-27-13-1-35    UserID [2]    Transaction Complete 
2018-11-27-13-1-35    UserID [4]    Transaction Complete 
2018-11-27-13-1-35    UserID [1]    Transaction Complete 
2018-11-27-13-1-35    UserID [3]    Transaction Complete 
2018-11-27-13-1-35    UserID [0]    Transaction Complete 
2018-11-27-13-1-36    UserID [2]    Transaction Complete 
2018-11-27-13-1-36    UserID [4]    Transaction Complete 
2018-11-27-13-1-36    UserID [3]    Transaction Complete 
2018-11-27-13-1-36    UserID [1]    Transaction Complete 
2018-11-27-13-1-36    UserID [0]    Transaction Complete 
2018-11-27-13-1-36    UserID [2]    Transaction Complete 
2018-11-27-13-1-36    UserID [4]    Transaction Complete 
2018-11-27-13-1-36    UserID [3]    Transaction Complete 
2018-11-27-13-1-36    UserID [0]    Transaction Complete 
2018-11-27-13-1-36    UserID [1]    Transaction Complete 
2018-11-27-13-1-36    UserID [2]    Transaction Complete 
2018-11-27-13-1-36    UserID [4]    Transaction Complete 
2018-11-27-13-1-37    UserID [3]    Transaction Complete 
2018-11-27-13-1-37    UserID [2]    Transaction Complete 
2018-11-27-13-1-37    UserID [1]    Transaction Complete 
2018-11-27-13-1-37    UserID [0]    Transaction Complete 
2018-11-27-13-1-37    UserID [4]    Transaction Complete 
2018-11-27-13-1-37    UserID [3]    Transaction Complete 
2018-11-27-13-1-37    UserID [2]    Transaction Complete 
2018-11-27-13-1-37    UserID [4]    Transaction Complete 
2018-11-27-13-1-37    UserID [0]    Transaction Complete 
2018-11-27-13-1-37    UserID [1]    Transaction Complete 
2018-11-27-13-1-37    UserID [3]    Transaction Complete 
2018-11-27-13-1-38    UserID [2]    Transaction Complete 
2018-11-27-13-1-38    UserID [4]    Transaction Complete 
2018-11-27-13-1-38    UserID [0]    Transaction Complete 
2018-11-27-13-1-38    UserID [3]    Transaction Complete 
2018-11-27-13-1-38    UserID [1]    Transaction Complete 
2018-11-27-13-1-38    UserID [2]    Transaction Complete 
2018-11-27-13-1-38    UserID [0]    Transaction Complete 
2018-11-27-13-1-38    UserID [4]    Transaction Complete 
2018-11-27-13-1-38    UserID [3]    Transaction Complete 
2018-11-27-13-1-38    UserID [0]    Transaction Complete 
2018-11-27-13-1-38    UserID [1]    Transaction Complete 
2018-11-27-13-1-38    UserID [2]    Transaction Complete 
2018-11-27-13-1-38    UserID [4]    Transaction Complete 
2018-11-27-13-1-39    UserID [3]    Transaction Complete 
2018-11-27-13-1-39    UserID [0]    Transaction Complete 
2018-11-27-13-1-39    UserID [1]    Transaction Complete 
2018-11-27-13-1-39    UserID [4]    Transaction Complete 
2018-11-27-13-1-39    UserID [2]    Transaction Complete 
2018-11-27-13-1-39    UserID [3]    Transaction Complete 
2018-11-27-13-1-39    UserID [0]    Transaction Complete 
